"f" "voor" "ref" "hyp"
"1" "08072021_result.TextGrid" 1 "hei" "ei"
"2" "08072021_result.TextGrid" 1 "hei" "hei"
"3" "08072021_result.TextGrid" 1 "hei" "hei"
"4" "08072021_result.TextGrid" 1 "siin" "siin"
"5" "08072021_result.TextGrid" 1 "on" "on"
"6" "08072021_result.TextGrid" 1 "geid" "geid"
"7" "08072021_result.TextGrid" 2 "kas" "kas"
"8" "08072021_result.TextGrid" 2 "sa" "sa"
"9" "08072021_result.TextGrid" 2 "t" "####"
"10" "08072021_result.TextGrid" 2 "tahtsid" "tahtsid"
"11" "08072021_result.TextGrid" 2 "et" "et"
"12" "08072021_result.TextGrid" 2 "mina" "mina"
"13" "08072021_result.TextGrid" 2 "tutvustaksin" "tutvustaksin"
"14" "08072021_result.TextGrid" 2 "et" "####"
"15" "08072021_result.TextGrid" 2 "sina" "sina"
"16" "08072021_result.TextGrid" 2 "ütled" "ütled"
"17" "08072021_result.TextGrid" 2 "et" "####"
"18" "08072021_result.TextGrid" 2 "jaa" "####"
"19" "08072021_result.TextGrid" 2 "ma" "####"
"20" "08072021_result.TextGrid" 2 "mõtlesin" "####"
"21" "08072021_result.TextGrid" 2 "et" "et"
"22" "08072021_result.TextGrid" 2 "lets" "####"
"23" "08072021_result.TextGrid" 2 "switch" "####"
"24" "08072021_result.TextGrid" 2 "it" "####"
"25" "08072021_result.TextGrid" 2 "up" "####"
"26" "08072021_result.TextGrid" 3 "me" "####"
"27" "08072021_result.TextGrid" 3 "ei" "ei"
"28" "08072021_result.TextGrid" 3 "me" "####"
"29" "08072021_result.TextGrid" 3 "ole" "ole"
"30" "08072021_result.TextGrid" 3 "nii" "nii"
"31" "08072021_result.TextGrid" 3 "syncis" "sinkis"
"32" "08072021_result.TextGrid" 3 "vaata" "vaata"
"33" "08072021_result.TextGrid" 3 "eelmine" "eelmine"
"34" "08072021_result.TextGrid" 3 "saade" "saade"
"35" "08072021_result.TextGrid" 3 "ei" "ei"
"36" "08072021_result.TextGrid" 3 "teinud" "teinud"
"37" "08072021_result.TextGrid" 3 "koos" "koos"
"38" "08072021_result.TextGrid" 3 "nii" "nii"
"39" "08072021_result.TextGrid" 3 "et" "et"
"40" "08072021_result.TextGrid" 3 "me" "me"
"41" "08072021_result.TextGrid" 3 "ei" "ei"
"42" "08072021_result.TextGrid" 3 "ole" "ole"
"43" "08072021_result.TextGrid" 3 "saanud" "saanud"
"44" "08072021_result.TextGrid" 3 "harjutada" "harjutada"
"45" "08072021_result.TextGrid" 3 "seda" "seda"
"46" "08072021_result.TextGrid" 3 "väga" "väga"
"47" "08072021_result.TextGrid" 3 "sest" "sest"
"48" "08072021_result.TextGrid" 3 "sa" "sa"
"49" "08072021_result.TextGrid" 3 "lihtsalt" "lihtsalt"
"50" "08072021_result.TextGrid" 3 "reetsid" "reetsid"
"51" "08072021_result.TextGrid" 3 "mind" "mind"
"52" "08072021_result.TextGrid" 3 "põgenesid" "põgesid"
"53" "08072021_result.TextGrid" 3 "barcelonasse" "barcelonasse"
"54" "08072021_result.TextGrid" 3 "yes" "####"
"55" "08072021_result.TextGrid" 4 "aga" "aga"
"56" "08072021_result.TextGrid" 4 "ärge" "ärge"
"57" "08072021_result.TextGrid" 4 "kuulake" "kuulake"
"58" "08072021_result.TextGrid" 4 "mul" "mul"
"59" "08072021_result.TextGrid" 4 "oli" "####"
"60" "08072021_result.TextGrid" 4 "endal" "endal"
"61" "08072021_result.TextGrid" 4 "ma" "ma"
"62" "08072021_result.TextGrid" 4 "olin" "olin"
"63" "08072021_result.TextGrid" 4 "vaikselt" "vaikselt"
