"f" "voor" "ref" "hyp"
"1" "ajalooeri_result.TextGrid" 1 "tere" "tere"
"2" "ajalooeri_result.TextGrid" 1 "paul" "paul"
"3" "ajalooeri_result.TextGrid" 1 "tere" "####"
"4" "ajalooeri_result.TextGrid" 1 "mel" "####"
"5" "ajalooeri_result.TextGrid" 2 "tänane" "tänane"
"6" "ajalooeri_result.TextGrid" 2 "osa" "osa"
"7" "ajalooeri_result.TextGrid" 2 "on" "on"
"8" "ajalooeri_result.TextGrid" 2 "meie" "meie"
"9" "ajalooeri_result.TextGrid" 2 "ajaloo" "ajaloo"
"10" "ajalooeri_result.TextGrid" 2 "suure" "suure"
"11" "ajalooeri_result.TextGrid" 3 "erisaate" "erisaate"
"12" "ajalooeri_result.TextGrid" 3 "teine" "teine"
"13" "ajalooeri_result.TextGrid" 3 "osa" "osa"
"14" "ajalooeri_result.TextGrid" 3 "kus" "kus"
"15" "ajalooeri_result.TextGrid" 3 "me" "me"
"16" "ajalooeri_result.TextGrid" 3 "räägime" "räägime"
"17" "ajalooeri_result.TextGrid" 3 "natuke" "natuke"
"18" "ajalooeri_result.TextGrid" 3 "uuemast" "uuemast"
"19" "ajalooeri_result.TextGrid" 3 "ajaloost" "ajaloost"
"20" "ajalooeri_result.TextGrid" 4 "me" "me"
"21" "ajalooeri_result.TextGrid" 4 "võime" "võime"
"22" "ajalooeri_result.TextGrid" 4 "selle" "selle"
"23" "ajalooeri_result.TextGrid" 4 "saatekirjelduse" "saatekirjelduse"
"24" "ajalooeri_result.TextGrid" 4 "ka" "ka"
"25" "ajalooeri_result.TextGrid" 4 "panna" "panna"
"26" "ajalooeri_result.TextGrid" 4 "kui" "kui"
"27" "ajalooeri_result.TextGrid" 5 "ei" "ei"
"28" "ajalooeri_result.TextGrid" 5 "no" "no"
"29" "ajalooeri_result.TextGrid" 5 "ennem" "ennem"
"30" "ajalooeri_result.TextGrid" 5 "oli" "oli"
"31" "ajalooeri_result.TextGrid" 5 "nagu" "nagu"
"32" "ajalooeri_result.TextGrid" 5 "aktivist" "aktivist"
"33" "ajalooeri_result.TextGrid" 5 "tahan" "tahan"
"34" "ajalooeri_result.TextGrid" 5 "leida" "leida"
"35" "ajalooeri_result.TextGrid" 5 "ja" "ja"
"36" "ajalooeri_result.TextGrid" 5 "siin" "siin"
"37" "ajalooeri_result.TextGrid" 5 "on" "on"
"38" "ajalooeri_result.TextGrid" 5 "nagu" "nagu"
"39" "ajalooeri_result.TextGrid" 5 "ma" "ma"
"40" "ajalooeri_result.TextGrid" 5 "tahan" "tahan"
"41" "ajalooeri_result.TextGrid" 5 "seksi" "####"
"42" "ajalooeri_result.TextGrid" 5 "jaa" "####"
"43" "ajalooeri_result.TextGrid" 5 "eg" "####"
"44" "ajalooeri_result.TextGrid" 5 "taavi" "seks"
"45" "ajalooeri_result.TextGrid" 6 "see" "see"
"46" "ajalooeri_result.TextGrid" 6 "on" "on"
"47" "ajalooeri_result.TextGrid" 6 "lihtsalt" "lihtsalt"
"48" "ajalooeri_result.TextGrid" 6 "huvitav" "huvitav"
"49" "ajalooeri_result.TextGrid" 6 "####" "see"
"50" "ajalooeri_result.TextGrid" 6 "see" "terminit"
"51" "ajalooeri_result.TextGrid" 6 "terminite" "ta"
"52" "ajalooeri_result.TextGrid" 6 "kasutus" "kasutas"
"53" "ajalooeri_result.TextGrid" 6 "ka" "ka"
"54" "ajalooeri_result.TextGrid" 7 "abielus" "abielus"
"55" "ajalooeri_result.TextGrid" 7 "pettunud" "pettunud"
"56" "ajalooeri_result.TextGrid" 7 "sale" "sale"
"57" "ajalooeri_result.TextGrid" 7 "nooremapoolne" "nooremapoolne"
"58" "ajalooeri_result.TextGrid" 7 "haritud" "haritud"
"59" "ajalooeri_result.TextGrid" 7 "daam" "daam"
"60" "ajalooeri_result.TextGrid" 7 "tallinnast" "tallinnast"
"61" "ajalooeri_result.TextGrid" 7 "soovib" "soovib"
"62" "ajalooeri_result.TextGrid" 7 "leida" "leida"
"63" "ajalooeri_result.TextGrid" 7 "intiimset" "intiimset"
"64" "ajalooeri_result.TextGrid" 7 "sõbratari" "sõbratari"
"65" "ajalooeri_result.TextGrid" 8 "jaa" "ja"
"66" "ajalooeri_result.TextGrid" 8 "ma" "ma"
"67" "ajalooeri_result.TextGrid" 8 "võin" "võin"
"68" "ajalooeri_result.TextGrid" 8 "järgmise" "järgmise"
"69" "ajalooeri_result.TextGrid" 8 "lugeda" "lugeda"
"70" "ajalooeri_result.TextGrid" 8 "ennast" "ennast"
"71" "ajalooeri_result.TextGrid" 8 "lesbilise" "lesbilise"
"72" "ajalooeri_result.TextGrid" 8 "naisena" "naisena"
"73" "ajalooeri_result.TextGrid" 8 "tundev" "tundev"
"74" "ajalooeri_result.TextGrid" 8 "mees" "mees"
"75" "ajalooeri_result.TextGrid" 8 "soovib" "soovib"
"76" "ajalooeri_result.TextGrid" 8 "tutvuda" "tutvuda"
"77" "ajalooeri_result.TextGrid" 8 "naisega" "naisega"
"78" "ajalooeri_result.TextGrid" 8 "kes" "kes"
"79" "ajalooeri_result.TextGrid" 8 "suudaks" "suudaks"
"80" "ajalooeri_result.TextGrid" 8 "teda" "teda"
"81" "ajalooeri_result.TextGrid" 8 "mõista" "mõista"
"82" "ajalooeri_result.TextGrid" 9 "jaa" "####"
"83" "ajalooeri_result.TextGrid" 9 "mhmh" "ja"
"84" "ajalooeri_result.TextGrid" 9 "tundub" "tundub"
"85" "ajalooeri_result.TextGrid" 9 "jah" "jah"
"86" "ajalooeri_result.TextGrid" 9 "jaa" "ja"
"87" "ajalooeri_result.TextGrid" 9 "kui" "kui"
"88" "ajalooeri_result.TextGrid" 9 "oled" "oled"
"89" "ajalooeri_result.TextGrid" 9 "alla" "alla"
"90" "ajalooeri_result.TextGrid" 9 "kahekümne" "kahekümne"
"91" "ajalooeri_result.TextGrid" 9 "aastane" "aastane"
"92" "ajalooeri_result.TextGrid" 9 "kena" "kena"
"93" "ajalooeri_result.TextGrid" 9 "sale" "sale"
