"f" "voor" "ref" "hyp"
"1" "kapistvalja_result.TextGrid" 1 "tere" "tere"
"2" "kapistvalja_result.TextGrid" 1 "mina" "mina"
"3" "kapistvalja_result.TextGrid" 1 "olen" "olen"
"4" "kapistvalja_result.TextGrid" 1 "paul" "paul"
"5" "kapistvalja_result.TextGrid" 1 "ja" "ja"
"6" "kapistvalja_result.TextGrid" 1 "ma" "ma"
"7" "kapistvalja_result.TextGrid" 1 "olen" "olen"
"8" "kapistvalja_result.TextGrid" 1 "mel" "####"
"9" "kapistvalja_result.TextGrid" 1 "ja" "ja"
"10" "kapistvalja_result.TextGrid" 1 "see" "see"
"11" "kapistvalja_result.TextGrid" 1 "on" "on"
"12" "kapistvalja_result.TextGrid" 1 "lilla" "lilla"
"13" "kapistvalja_result.TextGrid" 1 "agenda" "agenda"
"14" "kapistvalja_result.TextGrid" 2 "olen" "olen"
"15" "kapistvalja_result.TextGrid" 2 "teinud" "teinud"
"16" "kapistvalja_result.TextGrid" 2 "erinevaid" "erinevaid"
"17" "kapistvalja_result.TextGrid" 2 "asju" "asju"
"18" "kapistvalja_result.TextGrid" 2 "ma" "ma"
"19" "kapistvalja_result.TextGrid" 2 "õppisin" "õppisin"
"20" "kapistvalja_result.TextGrid" 2 "ülikoolis" "ülikoolis"
"21" "kapistvalja_result.TextGrid" 2 "lõpuks" "lõpuks"
"22" "kapistvalja_result.TextGrid" 2 "lõpetasin" "lõpetasin"
"23" "kapistvalja_result.TextGrid" 2 "audiovisuaalmeedia" "audiovisuaalmeedia"
"24" "kapistvalja_result.TextGrid" 2 "ja" "ja"
"25" "kapistvalja_result.TextGrid" 2 "ma" "ma"
"26" "kapistvalja_result.TextGrid" 2 "töötan" "töötan"
"27" "kapistvalja_result.TextGrid" 2 "hetkel" "hetkel"
"28" "kapistvalja_result.TextGrid" 2 "teatris" "teatris"
"29" "kapistvalja_result.TextGrid" 2 "queer" "koir"
"30" "kapistvalja_result.TextGrid" 2 "skeenel" "kenel"
"31" "kapistvalja_result.TextGrid" 2 "olnud" "olnud"
"32" "kapistvalja_result.TextGrid" 2 "kuskil" "kuskil"
"33" "kapistvalja_result.TextGrid" 2 "kaheksa" "kaheksa"
"34" "kapistvalja_result.TextGrid" 2 "aastat" "aastat"
"35" "kapistvalja_result.TextGrid" 2 "olen" "olen"
"36" "kapistvalja_result.TextGrid" 2 "teinud" "teinud"
"37" "kapistvalja_result.TextGrid" 2 "queer" "quir"
"38" "kapistvalja_result.TextGrid" 2 "planeti" "planetti"
"39" "kapistvalja_result.TextGrid" 2 "pidusid" "pidusid"
"40" "kapistvalja_result.TextGrid" 2 "aga" "aga"
