"f" "voor" "ref" "hyp"
"1" "marss_result.TextGrid" 1 "sul" "sul"
"2" "marss_result.TextGrid" 1 "on" "on"
"3" "marss_result.TextGrid" 1 "tõesti" "tõesti"
"4" "marss_result.TextGrid" 1 "palju" "palju"
"5" "marss_result.TextGrid" 1 "jaa" "ja"
"6" "marss_result.TextGrid" 1 "täielik" "täielik"
"7" "marss_result.TextGrid" 1 "renessansi" "renessansi"
"8" "marss_result.TextGrid" 1 "naine" "naine"
"9" "marss_result.TextGrid" 1 "palju" "palju"
"10" "marss_result.TextGrid" 1 "tööd" "####"
"11" "marss_result.TextGrid" 1 "jah" "####"
"12" "marss_result.TextGrid" 2 "sina" "####"
"13" "marss_result.TextGrid" 2 "rääkisid" "####"
"14" "marss_result.TextGrid" 2 "ei" "ei"
"15" "marss_result.TextGrid" 2 "nagu" "nagu"
"16" "marss_result.TextGrid" 2 "ei" "ei"
"17" "marss_result.TextGrid" 2 "ole" "ole"
"18" "marss_result.TextGrid" 2 "loomulikult" "loomulikult"
"19" "marss_result.TextGrid" 2 "see" "see"
"20" "marss_result.TextGrid" 2 "see" "see"
"21" "marss_result.TextGrid" 2 "ongi" "ongi"
"22" "marss_result.TextGrid" 2 "lihtsalt" "lihtsalt"
"23" "marss_result.TextGrid" 2 "nagu" "nagu"
"24" "marss_result.TextGrid" 2 "ma" "ma"
"25" "marss_result.TextGrid" 2 "tunnen" "tunnen"
"26" "marss_result.TextGrid" 2 "ise" "####"
"27" "marss_result.TextGrid" 2 "ka" "isegi"
"28" "marss_result.TextGrid" 3 "mingit" "mingit"
"29" "marss_result.TextGrid" 3 "täiesti" "####"
"30" "marss_result.TextGrid" 3 "muud" "####"
"31" "marss_result.TextGrid" 3 "juttu" "####"
"32" "marss_result.TextGrid" 3 "rääkima" "hästi"
"33" "marss_result.TextGrid" 3 "ei" "räägid"
"34" "marss_result.TextGrid" 4 "see" "####"
"35" "marss_result.TextGrid" 4 "on" "sa"
"36" "marss_result.TextGrid" 4 "okei" "okei"
"37" "marss_result.TextGrid" 5 "nii" "nii"
"38" "marss_result.TextGrid" 5 "et" "et"
"39" "marss_result.TextGrid" 5 "tavaelus" "tavaelus"
"40" "marss_result.TextGrid" 5 "jah" "on"
"41" "marss_result.TextGrid" 5 "jah" "ja"
"42" "marss_result.TextGrid" 5 "täpselt" "täpselt"
"43" "marss_result.TextGrid" 5 "jaa" "####"
"44" "marss_result.TextGrid" 5 "kui" "kui"
"45" "marss_result.TextGrid" 5 "sa" "sa"
"46" "marss_result.TextGrid" 5 "tead" "tead"
"47" "marss_result.TextGrid" 5 "et" "####"
"48" "marss_result.TextGrid" 5 "et" "et"
"49" "marss_result.TextGrid" 6 "samas" "samas"
"50" "marss_result.TextGrid" 6 "on" "on"
"51" "marss_result.TextGrid" 6 "see" "see"
"52" "marss_result.TextGrid" 6 "nii" "nii"
"53" "marss_result.TextGrid" 6 "oluline" "oluline"
"54" "marss_result.TextGrid" 6 "seda" "seda"
"55" "marss_result.TextGrid" 6 "ikkagi" "ikkagi"
"56" "marss_result.TextGrid" 6 "tähistada" "tähistada"
"57" "marss_result.TextGrid" 6 "jaa" "####"
"58" "marss_result.TextGrid" 6 "ja" "ja"
"59" "marss_result.TextGrid" 6 "tõesti" "tõesti"
"60" "marss_result.TextGrid" 6 "seda" "seda"
"61" "marss_result.TextGrid" 6 "uhke" "uhke"
"62" "marss_result.TextGrid" 6 "olla" "olla"
"63" "marss_result.TextGrid" 6 "en" "####"
"64" "marss_result.TextGrid" 6 "enda" "enda"
"65" "marss_result.TextGrid" 6 "üle" "üle"
"66" "marss_result.TextGrid" 6 "jaa" "####"
"67" "marss_result.TextGrid" 7 "ja" "ja"
"68" "marss_result.TextGrid" 7 "see" "see"
"69" "marss_result.TextGrid" 7 "loob" "loob"
"70" "marss_result.TextGrid" 7 "seda" "seda"
"71" "marss_result.TextGrid" 7 "turvatundet" "####"
"72" "marss_result.TextGrid" 7 "ise" "####"
"73" "marss_result.TextGrid" 7 "tunne" "turvatunnet"
"74" "marss_result.TextGrid" 7 "tunnet" "tunnet"
"75" "marss_result.TextGrid" 7 "jaa" "####"
"76" "marss_result.TextGrid" 7 "ka" "ka"
"77" "marss_result.TextGrid" 7 "iseendas" "iseendas"
"78" "marss_result.TextGrid" 7 "nagu" "nagu"
"79" "marss_result.TextGrid" 8 "oma" "oma"
"80" "marss_result.TextGrid" 8 "kogukonna" "kogukonna"
"81" "marss_result.TextGrid" 8 "probleemidele" "probleemidele"
"82" "marss_result.TextGrid" 8 "teha" "teha"
"83" "marss_result.TextGrid" 9 "meie" "meie"
"84" "marss_result.TextGrid" 9 "võtsime" "võtsime"
"85" "marss_result.TextGrid" 10 "aitäh" "aitäh"
"86" "marss_result.TextGrid" 10 "ma" "ma"
"87" "marss_result.TextGrid" 11 "aitäh" "aitäh"
"88" "marss_result.TextGrid" 11 "sulle" "sulle"
"89" "marss_result.TextGrid" 11 "veel" "veel"
"90" "marss_result.TextGrid" 11 "kord" "kord"
"91" "marss_result.TextGrid" 11 "aitäh" "####"
"92" "marss_result.TextGrid" 11 "jaa" "####"
"93" "marss_result.TextGrid" 11 "aitäh" "aitäh"
"94" "marss_result.TextGrid" 11 "teile" "teile"
"95" "marss_result.TextGrid" 11 "ka" "####"
