"f" "voor" "ref" "hyp"
"1" "transmbi_result.TextGrid" 1 "transvestiit" "transvestet"
"2" "transmbi_result.TextGrid" 2 "transvestiit" "transestet"
"3" "transmbi_result.TextGrid" 2 "on" "on"
"4" "transmbi_result.TextGrid" 2 "huvitav" "huvitav"
"5" "transmbi_result.TextGrid" 2 "sõna" "sõna"
"6" "transmbi_result.TextGrid" 2 "selles" "selles"
"7" "transmbi_result.TextGrid" 2 "mõttes" "mõttes"
"8" "transmbi_result.TextGrid" 2 "et" "et"
"9" "transmbi_result.TextGrid" 2 "see" "see"
"10" "transmbi_result.TextGrid" 2 "tähendab" "tähendab"
"11" "transmbi_result.TextGrid" 2 "tegelikult" "tegelikult"
"12" "transmbi_result.TextGrid" 2 "midagi" "midagi"
"13" "transmbi_result.TextGrid" 2 "vägaväga" "vägaväga"
"14" "transmbi_result.TextGrid" 2 "tavalist" "tavalist"
"15" "transmbi_result.TextGrid" 2 "ja" "ja"
"16" "transmbi_result.TextGrid" 2 "lihtlabast" "lihtlabast"
"17" "transmbi_result.TextGrid" 2 "nagu" "nagu"
"18" "transmbi_result.TextGrid" 2 "ristriietuja" "ristriietuja"
"19" "transmbi_result.TextGrid" 2 "või" "või"
"20" "transmbi_result.TextGrid" 2 "siis" "siis"
"21" "transmbi_result.TextGrid" 2 "inglise" "inglise"
"22" "transmbi_result.TextGrid" 2 "keeles" "keeles"
"23" "transmbi_result.TextGrid" 2 "tähistatakse" "tähistatakse"
"24" "transmbi_result.TextGrid" 2 "sõnaga" "sõnaga"
"25" "transmbi_result.TextGrid" 2 "cross" "cross"
"26" "transmbi_result.TextGrid" 2 "dresser" "tresser"
"27" "transmbi_result.TextGrid" 2 "ehk" "ehk"
"28" "transmbi_result.TextGrid" 2 "siis" "siis"
"29" "transmbi_result.TextGrid" 2 "mõni" "mõni"
"30" "transmbi_result.TextGrid" 2 "inimene" "inimene"
"31" "transmbi_result.TextGrid" 2 "kes" "kes"
"32" "transmbi_result.TextGrid" 2 "eelistab" "helistab"
"33" "transmbi_result.TextGrid" 2 "kas" "kas"
"34" "transmbi_result.TextGrid" 2 "siis" "siis"
"35" "transmbi_result.TextGrid" 2 "pidevalt" "pidevalt"
"36" "transmbi_result.TextGrid" 2 "või" "või"
"37" "transmbi_result.TextGrid" 2 "mingites" "mingites"
"38" "transmbi_result.TextGrid" 2 "olukordades" "olukordades"
"39" "transmbi_result.TextGrid" 2 "kanda" "kanda"
"40" "transmbi_result.TextGrid" 2 "mõne" "mõne"
"41" "transmbi_result.TextGrid" 2 "teise" "teise"
"42" "transmbi_result.TextGrid" 2 "soo" "####"
"43" "transmbi_result.TextGrid" 2 "riideid" "sooriideid"
"44" "transmbi_result.TextGrid" 2 "või" "või"
"45" "transmbi_result.TextGrid" 2 "etendada" "etendada"
